t (YYYYMMDD_HH:MM:SS),T (°C),RH (%RH),P (kPa)
20240323_194200 , 19.832628593459958 , 31.74039132040387 , 952.1814889875985
20240323_194300 , 19.660283980570966 , 31.782126503335366 , 952.1432638113233
20240323_194400 , 19.472732872352935 , 32.013597389188206 , 952.217841529592
20240323_194500 , 19.19901034841314 , 32.21265137585261 , 952.3270923949617
20240323_194600 , 19.04187372737215 , 32.45435849157054 , 952.3921423292752
20240323_194700 , 18.818841584172333 , 32.65221063810106 , 952.5217747180396
20240323_194800 , 18.621154473745264 , 32.92738822125641 , 952.6075518179684
20240323_194900 , 18.499501087353565 , 33.13465693126274 , 952.6165593387574
20240323_195000 , 18.387985630426556 , 33.286088155773456 , 952.6675652593025
20240323_195100 , 18.256194817484356 , 33.49322935391326 , 952.6073649779554
20240323_195200 , 18.266332565341145 , 33.643154313581135 , 952.649420368769
20240323_195300 , 18.210574966535205 , 33.72153872537866 , 952.6748689819173
20240323_195400 , 18.14974853527383 , 33.83328338194051 , 952.6657629633439
20240323_195500 , 18.06357782939449 , 33.8452764500506 , 952.592048424768
20240323_195600 , 17.967269492946798 , 33.95175991186103 , 952.6113548425075
20240323_195700 , 18.002751499414444 , 34.01248897389921 , 952.6639673956737
20240323_195800 , 17.952062923111953 , 34.05740435159765 , 952.6158212114898
20240323_195900 , 17.8810989651829 , 34.085848451414854 , 952.6726645751115
20240323_200000 , 17.84561700760969 , 34.14169685256936 , 952.620045052751
20240323_200100 , 18.073715555132367 , 33.95069833297048 , 952.7691959741476
20240323_200200 , 18.423467805987457 , 33.48580763076782 , 952.8823667994762
20240323_200300 , 18.737739126343513 , 32.976000561834766 , 952.9155519834702
20240323_200400 , 18.991184554441134 , 32.52743705393575 , 952.7770862581518
20240323_200500 , 19.173665713198716 , 32.24086804552303 , 952.8038414794231
20240323_200600 , 19.325733633624623 , 32.015784760187294 , 952.8666613016804
20240323_200700 , 19.43725027507753 , 31.763275599406988 , 952.8964445834306
20240323_200800 , 19.50314653851092 , 31.645168296145627 , 952.8586326242809
20240323_200900 , 19.45752604320296 , 31.573409541263658 , 952.9264732569411
20240323_201000 , 19.19901034841314 , 31.789235201340787 , 953.0308610550106
20240323_201100 , 19.021598054707283 , 31.920039918272 , 952.9303860711615
20240323_201200 , 18.889806295890594 , 32.08902852572217 , 952.9786119351505
20240323_201300 , 18.707325723866234 , 32.230792771523255 , 953.0327586871347
20240323_201400 , 18.58060332632158 , 32.45509726511055 , 952.8719614657739
20240323_201500 , 18.443743341282243 , 32.690506013159776 , 952.99353304287
20240323_201600 , 18.32209019936272 , 32.9366746208933 , 952.8401974491518
20240323_201700 , 18.24098819788196 , 33.11551852746709 , 952.8010378421449
20240323_201800 , 18.175092876539566 , 33.27188473386013 , 952.8114344003803
20240323_201900 , 18.164955139160156 , 33.35534324390574 , 952.8774730415478
20240323_202000 , 18.078784418437863 , 33.46741924629513 , 953.0198916455402
20240323_202100 , 18.06864669211791 , 33.617502982629375 , 952.8967766169474
20240323_202200 , 18.01795807798044 , 33.645815930044066 , 952.9837056851356
20240323_202300 , 18.038233520142967 , 33.77889155012216 , 953.0407988789474
20240323_202400 , 17.93178750074003 , 33.81885978105583 , 952.9909593436046
20240323_202500 , 17.901374375913292 , 33.93575965095335 , 953.188954755176
20240323_202600 , 17.89123666996602 , 33.946963852756085 , 953.119888266921
20240323_202700 , 17.901374375913292 , 34.002379917731325 , 953.3510298412541
20240323_202800 , 17.906443229323486 , 33.9912267601378 , 953.1694633648054
20240323_202900 , 18.012889218167402 , 33.87911410740189 , 953.3814458561912
20240323_203000 , 18.34236571137444 , 33.35887589747159 , 953.1676031576346
20240323_203100 , 18.6566367430205 , 32.888002992067435 , 953.2010257467886
20240323_203200 , 18.905013027251698 , 32.52303803955157 , 953.3258161993435
20240323_203300 , 19.12297646459774 , 32.09677080062197 , 953.4865798269035
20240323_203400 , 19.305457895767177 , 31.80989394468618 , 953.3510154769683
20240323_203500 , 19.44738815855817 , 31.52339450567858 , 953.3718025498227
20240323_203600 , 19.54876705739298 , 31.33216417598108 , 953.3324413067163
20240323_203700 , 19.640008165879408 , 31.085221115081378 , 953.4676225698563
20240323_203800 , 19.65014607264311 , 31.01252733555598 , 953.4555551708406
20240323_203900 , 19.467663929011906 , 31.155071317378763 , 953.5101671024595
20240323_204000 , 19.285182162566343 , 31.342068644909983 , 953.6458354456672
20240323_204100 , 19.15845893556252 , 31.50571846563935 , 953.5121143955071
20240323_204200 , 19.05201156545081 , 31.613246362377986 , 953.6249405865565
20240323_204300 , 18.960771064652363 , 31.781736609898637 , 953.7602385884462
20240323_204400 , 18.869530658150325 , 32.005817566846346 , 953.7601925058733
20240323_204500 , 18.7276013243536 , 32.22494107301629 , 953.9013099593203
20240323_204600 , 18.626223368482897 , 32.38771701135855 , 953.7779414925665
20240323_204700 , 18.52991441823542 , 32.58927250921656 , 953.8784132399992
20240323_204800 , 18.464018881233642 , 32.71248578870684 , 953.8887753606928
20240323_204900 , 18.47415665295557 , 32.879179089545715 , 953.822708197403
20240323_205000 , 18.418398922891356 , 32.99107770232319 , 954.0914238114314
20240323_205100 , 18.30688356840983 , 33.07026397802908 , 954.0610363466491
20240323_205200 , 18.170024007704342 , 33.25527473701833 , 954.1281049744637
20240323_205300 , 18.114266469725408 , 33.43924923846935 , 954.1533984420613
20240323_205400 , 18.053440104820766 , 33.53435273372289 , 954.1171078541288
20240323_205500 , 17.987544923467794 , 33.65169346443953 , 954.2083661180704
